"review_id","effect_size_id","within_effect_id","study_author","study_year","study_first_page_number","study_n","estimate","metric","lower_ci","upper_ci","standard_error","standard_deviation","variance","p_value","n_intervention","n_control","number_of_events_in_exposure_for_or_rr","number_of_events_in_comparison_for_or_rr","reverse_code","study_name","converted_metric","r_ci_lower","r_ci_upper","r_estimate","z_estimate","z_ci_lower","z_ci_upper","tar_group"
48113,"48113_001","48113_001_001","Haerens","2006","911",1193,0.04,"Standard Mean Difference",-0.1,0.19,NA,NA,NA,NA,966,227,NA,NA,FALSE,"Haerens 2006","d",-0.0499376169438922,0.0945741925264207,0.0199960011996001,0.0199986669066095,-0.0499791900693487,0.0948576814038144,72
48113,"48113_001","48113_001_002","Ezendam","2012","248",795,0.07,"Standard Mean Difference",-0.07,0.21,NA,NA,NA,NA,421,374,NA,NA,FALSE,"Ezendam 2012","d",-0.0349785821756186,0.104425930003996,0.0349785821756186,0.0349928581029374,-0.0349928581029374,0.104808013476227,72
48113,"48113_001","48113_001_003","Haerens","2006","911",751,0.11,"Standard Mean Difference",-0.04,0.25,NA,NA,NA,NA,421,330,NA,NA,FALSE,"Haerens 2006","d",-0.0199960011996001,0.124034734589208,0.0549170007571355,0.0549723085118352,-0.0199986669066095,0.124676746921443,72
48113,"48113_002","48113_002_001","Prochaska","2004","314",31,-1.06,"Standard Mean Difference",-1.83,-0.3,NA,NA,NA,NA,18,13,NA,NA,FALSE,"Prochaska 2004","d",-0.675056185208989,-0.148340452930245,-0.468293636983821,-0.507882413310767,-0.819974848643191,-0.149443120184958,73
48113,"48113_002","48113_002_002","Prochaska","2004","314",30,-0.38,"Standard Mean Difference",-1.1,0.35,NA,NA,NA,NA,17,13,NA,NA,FALSE,"Prochaska 2004","d",-0.481918749772156,0.172380331752248,-0.18666064582327,-0.188875014576307,-0.525480447978514,0.174118860824002,73
48113,"48113_002","48113_002_003","Casazza","2007","73",184,0.12,"Standard Mean Difference",-0.17,0.4,NA,NA,NA,NA,92,92,NA,NA,FALSE,"Casazza 2007","d",-0.0846945914398115,0.196116135138184,0.0598922907279467,0.0599640581953339,-0.0848979771881697,0.198690110349241,73
48113,"48113_002","48113_002_004","Velicer","2013","82",2983,0.14,"Standard Mean Difference",0.07,0.22,NA,NA,NA,NA,1579,1404,NA,NA,FALSE,"Velicer 2013","d",0.0349785821756186,0.109340479152898,0.0698291276999139,0.0699429590194018,0.0349928581029374,0.109779365920543,73
48113,"48113_002","48113_002_005","Mauriello","2010","451",1300,0.19,"Standard Mean Difference",0.08,0.3,NA,NA,NA,NA,837,463,NA,NA,FALSE,"Mauriello 2010","d",0.0399680383488716,0.148340452930245,0.0945741925264207,0.0948576814038144,0.039989341006027,0.149443120184958,73
48113,"48113_002","48113_002_006","Prochaska","2004","314",62,0.26,"Standard Mean Difference",-0.24,0.76,NA,NA,NA,NA,29,33,NA,NA,FALSE,"Prochaska 2004","d",-0.119145220618431,0.355217760623573,0.128915230254621,0.12963659033633,-0.119713850398777,0.37140239146356,73
48113,"48113_002","48113_002_007","Prochaska","2004","314",61,0.34,"Standard Mean Difference",-0.17,0.85,NA,NA,NA,NA,28,33,NA,NA,FALSE,"Prochaska 2004","d",-0.0846945914398115,0.391140640344852,0.167595493933869,0.169191635935195,-0.0848979771881697,0.413145994832217,73
48113,"48113_004","48113_004_001","Haerens","2006","911",1223,-0.03,"Standard Mean Difference",-0.17,0.12,NA,NA,NA,NA,966,227,NA,NA,FALSE,"Haerens 2006","d",-0.0846945914398115,0.0598922907279467,-0.0149983127847122,-0.0149994375569455,-0.0848979771881697,0.0599640581953339,74
48113,"48113_004","48113_004_002","Ezendam","2012","248",743,-0.01,"Standard Mean Difference",-0.16,0.13,NA,NA,NA,NA,371,372,NA,NA,FALSE,"Ezendam 2012","d",-0.07974522228289,0.0648631210826801,-0.00499993750117185,-0.00499997916690104,-0.0799149114944968,0.0649543159702414,74
48113,"48113_004","48113_004_003","Ezendam","2012","248",705,0,"Standard Mean Difference",-0.15,0.15,NA,NA,NA,NA,375,330,NA,NA,FALSE,"Ezendam 2012","d",-0.0747899482416342,0.0747899482416342,0,0,-0.0749298648848772,0.0749298648848772,74
48113,"48113_004","48113_004_004","Haerens","2006","911",751,0.06,"Standard Mean Difference",-0.08,0.21,NA,NA,NA,NA,421,330,NA,NA,FALSE,"Haerens 2006","d",-0.0399680383488716,0.104425930003996,0.029986509105671,0.0299955018215243,-0.039989341006027,0.104808013476227,74
48113,"48113_004","48113_004_005","Mauriello","2010","451",1182,0.17,"Standard Mean Difference",0.05,0.29,NA,NA,NA,NA,725,457,NA,NA,FALSE,"Mauriello 2010","d",0.0249921911602031,0.143499310466994,0.0846945914398115,0.0848979771881697,0.0249973965654828,0.144496643818822,74
48113,"48113_004","48113_004_006","Mauriello","2010","451",1430,0.18,"Standard Mean Difference",0.07,0.29,NA,NA,NA,NA,906,524,NA,NA,FALSE,"Mauriello 2010","d",0.0349785821756186,0.143499310466994,0.0896376994958906,0.0898789407439468,0.0349928581029374,0.144496643818822,74
48113,"48113_005","48113_005_001","Casazza","2007","73",184,-0.32,"Standard Mean Difference",-0.61,-0.03,NA,NA,NA,NA,92,92,NA,NA,TRUE,"Casazza 2007","d",-0.291732485186372,-0.0149983127847122,-0.157990501106673,-0.159325079865316,-0.300458869992246,-0.0149994375569455,75
48113,"48113_005","48113_005_002","Haerens","2006","911",787,-0.17,"Standard Mean Difference",-0.32,-0.03,NA,NA,NA,NA,447,340,NA,NA,TRUE,"Haerens 2006","d",-0.157990501106673,-0.0149983127847122,-0.0846945914398115,-0.0848979771881697,-0.159325079865316,-0.0149994375569455,75
48113,"48113_005","48113_005_003","Haerens","2007","443",1710,-0.03,"Standard Mean Difference",-0.13,0.07,NA,NA,NA,NA,1055,655,NA,NA,TRUE,"Haerens 2007","d",-0.0648631210826801,0.0349785821756186,-0.0149983127847122,-0.0149994375569455,-0.0649543159702414,0.0349928581029374,75
48113,"48113_005","48113_005_004","Haerens","2006","911",1219,0,"Standard Mean Difference",-0.14,0.15,NA,NA,NA,NA,1005,214,NA,NA,TRUE,"Haerens 2006","d",-0.0698291276999139,0.0747899482416342,0,0,-0.0699429590194018,0.0749298648848772,75
48113,"48113_005","48113_005_005","Haerens","2007","443",1340,0.01,"Standard Mean Difference",-0.09,0.12,NA,NA,NA,NA,685,655,NA,NA,TRUE,"Haerens 2007","d",-0.0449545065814817,0.0598922907279467,0.00499993750117185,0.00499997916690104,-0.0449848263229507,0.0599640581953339,75
48113,"48113_006","48113_006_001","Ezendam","2012","248",772,-0.17,"Standard Mean Difference",-0.31,-0.03,NA,NA,NA,NA,412,360,NA,NA,TRUE,"Ezendam 2012","d",-0.153170954413191,-0.0149983127847122,-0.0846945914398115,-0.0848979771881697,-0.154385969709221,-0.0149994375569455,76
48113,"48113_006","48113_006_002","Haerens","2006","911",778,-0.03,"Standard Mean Difference",-0.17,0.11,NA,NA,NA,NA,437,341,NA,NA,TRUE,"Haerens 2006","d",-0.0846945914398115,0.0549170007571355,-0.0149983127847122,-0.0149994375569455,-0.0848979771881697,0.0549723085118352,76
48113,"48113_006","48113_006_003","Haerens","2007","443",1710,-0.03,"Standard Mean Difference",-0.13,0.07,NA,NA,NA,NA,1055,655,NA,NA,TRUE,"Haerens 2007","d",-0.0648631210826801,0.0349785821756186,-0.0149983127847122,-0.0149994375569455,-0.0649543159702414,0.0349928581029374,76
48113,"48113_006","48113_006_004","Haerens","2006","911",1212,0,"Standard Mean Difference",-0.15,0.15,NA,NA,NA,NA,999,213,NA,NA,TRUE,"Haerens 2006","d",-0.0747899482416342,0.0747899482416342,0,0,-0.0749298648848772,0.0749298648848772,76
48113,"48113_006","48113_006_005","Haerens","2007","443",1340,0.09,"Standard Mean Difference",-0.02,0.2,NA,NA,NA,NA,685,655,NA,NA,TRUE,"Haerens 2007","d",-0.00999950003749688,0.0995037190209989,0.0449545065814817,0.0449848263229507,-0.00999983334083289,0.0998340788992076,76
48113,"48113_010","48113_010_001","Prochaska","2004","314",62,0,"Standard Mean Difference",-0.5,0.5,NA,NA,NA,NA,29,33,NA,NA,FALSE,"Prochaska 2004","d",-0.242535625036333,0.242535625036333,0,0,-0.247466461547263,0.247466461547263,78
48113,"48113_010","48113_010_002","Haerens","2006","911",77,0.19,"Standard Mean Difference",-0.26,0.64,NA,NA,NA,NA,41,36,NA,NA,FALSE,"Haerens 2006","d",-0.128915230254621,0.304775727103784,0.0945741925264207,0.0948576814038144,-0.12963659033633,0.31477598001879,78
48113,"48113_010","48113_010_003","Prochaska","2004","314",61,0.21,"Standard Mean Difference",-0.3,0.71,NA,NA,NA,NA,28,33,NA,NA,FALSE,"Prochaska 2004","d",-0.148340452930245,0.334544840699254,0.104425930003996,0.104808013476227,-0.149443120184958,0.347937156400247,78
48113,"48113_010","48113_010_004","Haerens","2006","911",63,0.27,"Standard Mean Difference",-0.36,0.9,NA,NA,NA,NA,51,12,NA,NA,FALSE,"Haerens 2006","d",-0.177152998315265,0.410364677328798,0.13378637625248,0.134593264488774,-0.179041904333766,0.43604966885174,78
48113,"48113_010","48113_010_005","Prochaska","2004","314",31,0.91,"Standard Mean Difference",0.16,1.66,NA,NA,NA,NA,18,13,NA,NA,FALSE,"Prochaska 2004","d",0.07974522228289,0.638669423290203,0.414145802487212,0.44060500286291,0.0799149114944968,0.755923299990814,78
48113,"48113_010","48113_010_006","Prochaska","2004","314",30,0.96,"Standard Mean Difference",0.19,1.73,NA,NA,NA,NA,17,13,NA,NA,FALSE,"Prochaska 2004","d",0.0945741925264207,0.654210400609848,0.432731067584771,0.463252120207431,0.0948576814038144,0.782624289394178,78
48113,"48113_013","48113_013_001","Ezendam","2012","248",201,-0.11,"Standard Mean Difference",-0.39,0.17,NA,NA,NA,NA,116,85,NA,NA,FALSE,"Ezendam 2012","d",-0.191395051403356,0.0846945914398115,-0.0549170007571355,-0.0549723085118352,-0.193784867221876,0.0848979771881697,79
48113,"48113_013","48113_013_002","Ezendam","2012","248",822,0,"Standard Mean Difference",-0.14,0.14,NA,NA,NA,NA,444,378,NA,NA,FALSE,"Ezendam 2012","d",-0.0698291276999139,0.0698291276999139,0,0,-0.0699429590194018,0.0699429590194018,79
48113,"48113_013","48113_013_003","Ezendam","2012","248",864,0.02,"Standard Mean Difference",-0.11,0.16,NA,NA,NA,NA,485,379,NA,NA,FALSE,"Ezendam 2012","d",-0.0549170007571355,0.07974522228289,0.00999950003749688,0.00999983334083289,-0.0549723085118352,0.0799149114944968,79
48113,"48113_013","48113_013_004","Velicer","2013","82",2983,0.05,"Standard Mean Difference",-0.02,0.12,NA,NA,NA,NA,1579,1404,NA,NA,FALSE,"Velicer 2013","d",-0.00999950003749688,0.0598922907279467,0.0249921911602031,0.0249973965654828,-0.00999983334083289,0.0599640581953339,79
48113,"48113_013","48113_013_005","Haerens","2006","911",1157,-0.02,"Standard Mean Difference",-0.17,0.13,NA,NA,NA,NA,943,214,NA,NA,FALSE,"Haerens 2006","d",-0.0846945914398115,0.0648631210826801,-0.00999950003749688,-0.00999983334083289,-0.0848979771881697,0.0649543159702414,79
48113,"48113_013","48113_013_006","Haerens","2006","911",773,0.06,"Standard Mean Difference",-0.08,0.21,NA,NA,NA,NA,437,336,NA,NA,FALSE,"Haerens 2006","d",-0.0399680383488716,0.104425930003996,0.029986509105671,0.0299955018215243,-0.039989341006027,0.104808013476227,79
48113,"48113_013","48113_013_007","Casazza","2007","73",184,0.15,"Standard Mean Difference",-0.14,0.44,NA,NA,NA,NA,92,92,NA,NA,FALSE,"Casazza 2007","d",-0.0698291276999139,0.21486178267512,0.0747899482416342,0.0749298648848772,-0.0699429590194018,0.218262907439882,79
48113,"48113_013","48113_013_008","Mauriello","2010","451",1300,0.19,"Standard Mean Difference",0.08,0.3,NA,NA,NA,NA,837,463,NA,NA,FALSE,"Mauriello 2010","d",0.0399680383488716,0.148340452930245,0.0945741925264207,0.0948576814038144,0.039989341006027,0.149443120184958,79
48113,"48113_013","48113_013_009","Haerens","2006","911",773,0.25,"Standard Mean Difference",0.11,0.39,NA,NA,NA,NA,437,336,NA,NA,FALSE,"Haerens 2006","d",0.0549170007571355,0.191395051403356,0.124034734589208,0.124676746921443,0.0549723085118352,0.193784867221876,79
48113,"48113_013","48113_013_010","Haerens","2006","911",1157,0.27,"Standard Mean Difference",0.12,0.42,NA,NA,NA,NA,943,214,NA,NA,FALSE,"Haerens 2006","d",0.0598922907279467,0.205517234286414,0.13378637625248,0.134593264488774,0.0599640581953339,0.208486350074129,79
48113,"48113_013","48113_013_011","Frenn","2003","1",103,0.45,"Standard Mean Difference",0.06,0.85,NA,NA,NA,NA,43,60,NA,NA,FALSE,"Frenn 2003","d",0.029986509105671,0.391140640344852,0.219512195121951,0.22314355131421,0.0299955018215243,0.413145994832217,79
48113,"48113_013","48113_013_012","Frenn","2005","13",91,1.11,"Standard Mean Difference",0.65,1.58,NA,NA,NA,NA,31,60,NA,NA,FALSE,"Frenn 2005","d",0.309086072337558,0.61989867506062,0.485271695379821,0.529856898372382,0.319534632000572,0.724840509128527,79
48113,"48113_016","48113_016_001","Lana","2014","54",493,3.63,"Standard Mean Difference",0.66,20.02,NA,NA,NA,NA,177,316,NA,NA,FALSE,"Lana 2014","d",0.313377454203902,0.995047027451136,0.875859069396154,1.35770227322885,0.324286295137463,2.99921749521879,81
48113,"48113_016","48113_016_002","Lana","2014","54",560,2.62,"Standard Mean Difference",0.48,14.41,NA,NA,NA,NA,244,316,NA,NA,FALSE,"Lana 2014","d",0.233372952475324,0.990505277332733,0.794874231096063,1.08453346717869,0.2377537491524,2.67270382907554,81
48113,"48113_016","48113_016_003","Bannink","2014","e143",826,0.87,"Standard Mean Difference",0.61,1.24,NA,NA,NA,NA,392,434,NA,NA,FALSE,"Bannink 2014","d",0.291732485186372,0.526939668861675,0.398893759237905,0.422332669526361,0.300458869992246,0.585898932259168,81
48113,"48113_016","48113_016_004","Bannink","2014","e143",864,0.89,"Standard Mean Difference",0.63,1.26,NA,NA,NA,NA,430,434,NA,NA,FALSE,"Bannink 2014","d",0.300446573394861,0.533037656364524,0.4065622681232,0.431485803446088,0.310010416495237,0.594378911302243,81
